    INT     ,     FLOAT      ,    FLOAT     ,    FLOAT     ,       FLOAT       ,       FLOAT       ,     FLOAT     ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,       INT       ,     INT      ,    FLOAT     ,     FLOAT      ,    FLOAT     ,      FLOAT      ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,       FLOAT        ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,       INT       ,     INT      ,    FLOAT     ,     FLOAT      ,    FLOAT     ,      FLOAT      ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,       FLOAT        ,    FLOAT     ,   INT    , BOOL ,    BOOL     ,     INT      ,     BOOL     , BOOL ,     FLOAT     ,    FLOAT     ,      FLOAT       ,     FLOAT      ,     FLOAT      , BOOL ,     FLOAT     ,    FLOAT     ,      FLOAT       ,     FLOAT      ,     FLOAT      ,    FLOAT     ,    FLOAT     ,     FLOAT      ,     FLOAT      ,     FLOAT      ,     FLOAT      ,      BOOL       ,      BOOL       
          47,  3.81626627e+02,  1.000000e+00,  2.184721e+00,       4.242333e+48,       4.531860e+47,   0.000000e+00,   0.000000e+00,  6.115853e+01,  0.000000e+00,  1.767366e+01,          -nan,  2.911544e+01,          -nan,  1.000000e+00,  1.000000e+00,  0.000000e+00,  8.945685e-01,  0.000000e+00,                1,            15,  1.000000e-01,    1.000000e+00,  2.111224e+00,     2.111224e+00,  1.999789e+01,  4.242333e+49,  4.242333e+48,  2.009419e+48,        2.009419e+48,  2.121390e+47,  3.000000e+00,  2.547475e+00,  4.525254e-01,  2.929389e+01,  1.499956e-02,                3,            10,  1.000000e-01,    2.184721e+00,  8.280248e-01,     8.280248e-01,  1.953778e+00,  9.900849e+48,  4.531860e+47,  1.195719e+48,        1.195719e+48,  5.067539e+47,         4,1,0,             1,0,0,   7.116421e-01,  5.610947e+03,    4.23048736e-11,  4.71244224e+01,  1.40520078e+04,1,   3.162828e+02,  4.502025e+03,    4.57693691e-09,  2.47457046e-02,  9.48518338e+01, -9.532559e-02,  3.438796e+00,  0.00000000e+00,  0.00000000e+00,  5.47686544e+10,  1.69151970e+06,1,0
          48,  1.08970824e+04,  2.239194e+00,  1.000000e+00,       1.417557e+47,       0.000000e+00,   0.000000e+00,   0.000000e+00,  2.156944e+01,  1.193981e+00,  9.867795e+00,  3.917694e-01,  6.581969e+00,  5.157559e-01,  1.033123e+00,  8.008197e-01,  2.323036e-01,  9.891746e+00,  2.017625e-02,                3,            10,  1.000000e-01,    2.239194e+00,  9.254832e-01,     9.171991e-01,  4.029131e+00,  3.174185e+48,  1.417557e+47,  3.429760e+47,        3.460738e+47,  7.878090e+46,  4.244685e-01,  0.000000e+00,  4.244685e-01,  1.549236e-02,  1.549236e-02,               11,            11,  1.000000e-01,    1.000000e+00,  1.000000e-20,     1.000000e-20,  2.987548e+02,  0.000000e+00,  0.000000e+00,  0.000000e+00,        0.000000e+00,  0.000000e+00,         3,0,0,             1,0,1,   3.684138e+01,  4.526109e+03,    1.53039445e-09,  6.81081872e-02,  2.80424714e+02,0,   2.977231e-06,  1.928288e+03,    1.47987016e-13,  1.47987016e-13,  1.42571594e+09,  1.642913e-02,  3.535912e+00,  0.00000000e+00,  0.00000000e+00,  1.12150598e+08, -1.00000000e+00,0,0
          49,  4.76379530e+02,  1.000000e+00,  4.543875e-01,       4.234841e+48,       3.537953e+47,   0.000000e+00,   0.000000e+00,  3.438436e+02,  0.000000e+00,  9.936432e+01,          -nan,  1.636920e+02,          -nan,  1.000000e+00,  1.000000e+00,  0.000000e+00,  8.961510e-01,  0.000000e+00,                1,            15,  1.000000e-01,    1.000000e+00,  2.105315e+00,     2.105315e+00,  1.997434e+01,  4.234841e+49,  4.234841e+48,  2.011500e+48,        2.011500e+48,  2.120140e+47,  3.000000e+00,  2.328864e+00,  6.711357e-01,  1.649322e+02,  3.336258e-01,                5,             8,  1.000000e-01,    4.543875e-01,  8.565796e-01,     8.565796e-01,  6.173381e-01,  1.607602e+48,  3.537953e+47,  1.876769e+47,        1.876769e+47,  2.604086e+47,         4,1,0,             1,0,0,   7.152744e-01,  5.613130e+03,    4.24171832e-11,  4.68023165e+01,  1.39806482e+04,1,   4.219088e+03,  3.626014e+03,    6.11459033e-08,  3.01205433e-04,  7.11054157e+00,  1.466854e-02,  3.436135e+00,  0.00000000e+00,  0.00000000e+00,  5.46314652e+10,  5.55457284e+05,1,0
          50,  4.78585142e+02,  1.000000e+00,  1.169356e+02,       4.234667e+48,       2.066220e+44,   0.000000e+00,   0.000000e+00,  2.046019e+03,  0.000000e+00,  5.912610e+02,          -nan,  9.740385e+02,          -nan,  1.000000e+00,  1.000000e+00,  0.000000e+00,  8.961880e-01,  0.000000e+00,                1,            15,  1.000000e-01,    1.000000e+00,  2.105177e+00,     2.105177e+00,  1.997379e+01,  4.234667e+49,  4.234667e+48,  2.011549e+48,        2.011549e+48,  2.120111e+47,  3.000000e+00,  2.067475e+00,  9.325250e-01,  9.742192e+02,  8.814376e-03,                6,            11,  1.000000e-01,    1.169356e+02,  2.930090e+00,     2.930090e+00,  1.889248e-01,  2.416146e+47,  2.066220e+44,  8.245978e+45,        8.245978e+45,  1.278893e+47,         4,1,0,             1,0,0,   7.153598e-01,  5.613182e+03,    4.24198045e-11,  4.67948015e+01,  1.39789792e+04,1,   5.305144e+04,  2.809464e+03,    8.77797607e-07,  3.60021928e-06,  5.65488938e-01,  1.557324e-01,  3.436100e+00,  0.00000000e+00,  0.00000000e+00,  5.35353604e+10,  1.30581731e+06,1,0
          54,  4.77660142e+02,  1.000000e+00,  1.169356e+02,       4.234740e+48,       4.468325e+44,   0.000000e+00,   0.000000e+00,  1.030944e+03,  0.000000e+00,  2.979233e+02,          -nan,  4.907964e+02,          -nan,  1.000000e+00,  1.000000e+00,  0.000000e+00,  8.961725e-01,  0.000000e+00,                1,            15,  1.000000e-01,    1.000000e+00,  2.105235e+00,     2.105235e+00,  1.997403e+01,  4.234740e+49,  4.234740e+48,  2.011528e+48,        2.011528e+48,  2.120123e+47,  3.000000e+00,  2.255033e+00,  7.449667e-01,  4.913616e+02,  1.095397e-02,                6,            11,  1.000000e-01,    1.169356e+02,  1.159515e+00,     1.159515e+00,  2.981667e-01,  5.225061e+47,  4.468325e+44,  4.506247e+46,        4.506247e+46,  1.752396e+47,         4,1,0,             1,0,0,   7.153240e-01,  5.613160e+03,    4.24187051e-11,  4.67979532e+01,  1.39796792e+04,1,   1.986875e+04,  3.094707e+03,    3.14420772e-07,  2.07885275e-05,  1.50990888e+00,  5.296400e-02,  3.436102e+00,  0.00000000e+00,  0.00000000e+00,  5.35368192e+10,  9.26853020e+05,1,0
          55,  3.81284110e+02,  1.000000e+00,  1.930986e+00,       4.242360e+48,       6.174993e+47,   0.000000e+00,   0.000000e+00,  5.069163e+01,  0.000000e+00,  1.464893e+01,          -nan,  2.413252e+01,          -nan,  1.000000e+00,  1.000000e+00,  0.000000e+00,  8.945628e-01,  0.000000e+00,                1,            15,  1.000000e-01,    1.000000e+00,  2.111245e+00,     2.111245e+00,  1.999798e+01,  4.242360e+49,  4.242360e+48,  2.009411e+48,        2.009411e+48,  2.121394e+47,  3.000000e+00,  2.552438e+00,  4.475621e-01,  2.437133e+01,  1.508462e-02,                3,            10,  1.000000e-01,    1.930986e+00,  8.278666e-01,     8.278666e-01,  2.208719e+00,  1.192382e+49,  6.174993e+47,  1.440307e+48,        1.440307e+48,  5.398524e+47,         4,1,0,             1,0,0,   7.116291e-01,  5.610939e+03,    4.23044687e-11,  4.71255841e+01,  1.40522646e+04,1,   2.395709e+02,  4.604648e+03,    3.47318841e-09,  3.93445260e-02,  1.25223890e+02, -9.780242e-02,  3.440378e+00,  0.00000000e+00,  0.00000000e+00,  5.47690973e+10,  2.13462632e+06,1,0
          57,  3.81176711e+02,  1.000000e+00,  1.838280e+00,       4.242369e+48,       6.822033e+47,   0.000000e+00,   0.000000e+00,  4.807305e+01,  0.000000e+00,  1.389221e+01,          -nan,  2.288590e+01,          -nan,  1.000000e+00,  1.000000e+00,  0.000000e+00,  8.945610e-01,  0.000000e+00,                1,            15,  1.000000e-01,    1.000000e+00,  2.111252e+00,     2.111252e+00,  1.999801e+01,  4.242369e+49,  4.242369e+48,  2.009409e+48,        2.009409e+48,  2.121396e+47,  3.000000e+00,  2.553994e+00,  4.460058e-01,  2.318643e+01,  1.511147e-02,                3,            10,  1.000000e-01,    1.838280e+00,  8.255931e-01,     8.255931e-01,  2.283341e+00,  1.254081e+49,  6.822033e+47,  1.519006e+48,        1.519006e+48,  5.492308e+47,         4,1,0,             1,0,0,   7.116250e-01,  5.610937e+03,    4.23043417e-11,  4.71259484e+01,  1.40523451e+04,1,   2.220915e+02,  4.632267e+03,    3.22299924e-09,  4.46371726e-02,  1.35079488e+02, -9.857912e-02,  3.440951e+00,  0.00000000e+00,  0.00000000e+00,  5.47692362e+10,  2.27470542e+06,1,0
          58,  4.77025142e+02,  1.000000e+00,  8.420980e-01,       4.234790e+48,       1.052143e+47,   0.000000e+00,   0.000000e+00,  6.207625e+02,  0.000000e+00,  1.793887e+02,          -nan,  2.955234e+02,          -nan,  1.000000e+00,  1.000000e+00,  0.000000e+00,  8.961618e-01,  0.000000e+00,                1,            15,  1.000000e-01,    1.000000e+00,  2.105274e+00,     2.105274e+00,  1.997418e+01,  4.234790e+49,  4.234790e+48,  2.011515e+48,        2.011515e+48,  2.120132e+47,  3.000000e+00,  2.305641e+00,  6.943592e-01,  2.962742e+02,  1.156496e-02,                6,            11,  1.000000e-01,    8.420980e-01,  9.598054e-01,     9.598054e-01,  4.177638e-01,  8.860075e+47,  1.052143e+47,  9.231116e+46,        9.231116e+46,  2.120834e+47,         4,1,0,             1,0,0,   7.152994e-01,  5.613145e+03,    4.24179505e-11,  4.68001168e+01,  1.39801597e+04,1,   9.734075e+03,  3.334297e+03,    1.47214355e-07,  7.19524586e-05,  3.08195710e+00,  2.661814e-02,  3.436108e+00,  0.00000000e+00,  0.00000000e+00,  5.35378192e+10,  1.65604777e+06,1,0
          60,  4.76379530e+02,  1.000000e+00,  4.543875e-01,       4.234841e+48,       3.537953e+47,   0.000000e+00,   0.000000e+00,  3.435551e+02,  0.000000e+00,  9.928096e+01,          -nan,  1.635546e+02,          -nan,  1.000000e+00,  1.000000e+00,  0.000000e+00,  8.961510e-01,  0.000000e+00,                1,            15,  1.000000e-01,    1.000000e+00,  2.105315e+00,     2.105315e+00,  1.997434e+01,  4.234841e+49,  4.234841e+48,  2.011500e+48,        2.011500e+48,  2.120140e+47,  3.000000e+00,  2.328864e+00,  6.711357e-01,  1.649322e+02,  3.336258e-01,                5,             8,  1.000000e-01,    4.543875e-01,  8.565796e-01,     8.565796e-01,  6.173381e-01,  1.607602e+48,  3.537953e+47,  1.876769e+47,        1.876769e+47,  2.604086e+47,         4,1,0,             1,0,0,   7.152744e-01,  5.613130e+03,    4.24171832e-11,  4.68023165e+01,  1.39806482e+04,1,   4.219088e+03,  3.626014e+03,    6.11459033e-08,  3.01205433e-04,  7.11054157e+00,  1.466854e-02,  3.436135e+00,  0.00000000e+00,  0.00000000e+00,  5.46314652e+10,  5.55457284e+05,1,0
          62,  1.10064905e+04,  2.224998e+00,  1.000000e+00,       1.212436e+47,       0.000000e+00,   0.000000e+00,   0.000000e+00,  2.482448e+01,  1.261726e+00,  1.134422e+01,  4.177399e-01,  7.586479e+00,  5.409509e-01,  1.030602e+00,  7.889202e-01,  2.416817e-01,  1.143810e+01,  1.985982e-02,                3,            10,  1.000000e-01,    2.224998e+00,  8.822448e-01,     8.755233e-01,  3.657273e+00,  2.697668e+48,  1.212436e+47,  3.057732e+47,        3.081206e+47,  7.376172e+46,  4.258766e-01,  0.000000e+00,  4.258766e-01,  1.546691e-02,  1.546691e-02,               11,            11,  1.000000e-01,    1.000000e+00,  1.000000e-20,     1.000000e-20,  2.990825e+02,  0.000000e+00,  0.000000e+00,  0.000000e+00,        0.000000e+00,  0.000000e+00,         3,0,0,             1,0,1,   4.671561e+01,  4.466488e+03,    1.90526471e-09,  4.56487931e-02,  2.20611849e+02,0,   2.944273e-06,  1.924511e+03,    1.47378205e-13,  1.47378205e-13,  1.44645764e+09,  3.135258e-02,  3.428149e+00,  0.00000000e+00,  0.00000000e+00,  9.09025057e+07, -1.00000000e+00,0,0
          63,  4.79180142e+02,  1.000000e+00,  1.169356e+02,       4.234620e+48,       1.037951e+44,   0.000000e+00,   0.000000e+00,  3.534006e+03,  0.000000e+00,  1.021261e+03,          -nan,  1.682417e+03,          -nan,  1.000000e+00,  1.000000e+00,  0.000000e+00,  8.961979e-01,  0.000000e+00,                1,            15,  1.000000e-01,    1.000000e+00,  2.105140e+00,     2.105140e+00,  1.997365e+01,  4.234620e+49,  4.234620e+48,  2.011562e+48,        2.011562e+48,  2.120103e+47,  3.000000e+00,  1.797069e+00,  1.202931e+00,  1.685703e+03,  5.638736e-03,                6,            11,  1.000000e-01,    1.169356e+02,  1.670428e+06,     1.670428e+06,  1.310809e-01,  1.213734e+47,  1.037951e+44,  7.266005e+39,        7.266005e+39,  9.259427e+46,         4,1,0,             1,0,0,   7.153829e-01,  5.613196e+03,    4.24205117e-11,  4.67927740e+01,  1.39785289e+04,1,   1.155740e+05,  2.594789e+03,    1.99793351e-06,  8.30168090e-07,  2.59573904e-01,  3.269587e-01,  3.436099e+00,  0.00000000e+00,  0.00000000e+00,  5.35344204e+10,  8.90800508e+05,1,0
          64,  4.77220142e+02,  1.000000e+00,  1.172793e+00,       4.234775e+48,       6.621627e+46,   0.000000e+00,   0.000000e+00,  7.061504e+02,  0.000000e+00,  2.040642e+02,          -nan,  3.361736e+02,          -nan,  1.000000e+00,  1.000000e+00,  0.000000e+00,  8.961651e-01,  0.000000e+00,                1,            15,  1.000000e-01,    1.000000e+00,  2.105262e+00,     2.105262e+00,  1.997413e+01,  4.234775e+49,  4.234775e+48,  2.011519e+48,        2.011519e+48,  2.120129e+47,  3.000000e+00,  2.293601e+00,  7.063989e-01,  3.362570e+02,  1.141754e-02,                6,            11,  1.000000e-01,    1.172793e+00,  9.938282e-01,     9.938282e-01,  3.839539e-01,  7.765799e+47,  6.621627e+46,  7.814025e+46,        7.814025e+46,  2.022586e+47,         4,1,0,             1,0,0,   7.153070e-01,  5.613150e+03,    4.24181822e-11,  4.67994524e+01,  1.39800122e+04,1,   1.164456e+04,  3.273200e+03,    1.77998542e-07,  5.27188591e-05,  2.57631067e+00,  3.284589e-02,  3.436106e+00,  0.00000000e+00,  0.00000000e+00,  5.35375123e+10,  1.43112518e+06,1,0
